Temps       ;Deformation ;
 2.6720E-002; 2.3509E-002;
 2.6880E-002; 2.3647E-002;
 2.7040E-002; 2.3786E-002;
 2.7200E-002; 2.3925E-002;
 2.7360E-002; 2.4063E-002;
 2.7520E-002; 2.4201E-002;
 2.7680E-002; 2.4340E-002;
 2.7840E-002; 2.4478E-002;
 2.8000E-002; 2.4616E-002;
 2.8160E-002; 2.4753E-002;
 2.8320E-002; 2.4891E-002;
 2.8480E-002; 2.5029E-002;
 2.8640E-002; 2.5166E-002;
 2.8800E-002; 2.5303E-002;
 2.8960E-002; 2.5440E-002;
 2.9120E-002; 2.5577E-002;
 2.9280E-002; 2.5713E-002;
 2.9440E-002; 2.5850E-002;
 2.9600E-002; 2.5986E-002;
 2.9760E-002; 2.6122E-002;
 2.9920E-002; 2.6258E-002;
 3.0080E-002; 2.6394E-002;
 3.0240E-002; 2.6529E-002;
 3.0400E-002; 2.6665E-002;
 3.0560E-002; 2.6801E-002;
 3.0720E-002; 2.6936E-002;
 3.0880E-002; 2.7072E-002;
 3.1040E-002; 2.7207E-002;
 3.1200E-002; 2.7343E-002;
 3.1360E-002; 2.7478E-002;
 3.1520E-002; 2.7614E-002;
 3.1680E-002; 2.7749E-002;
 3.1840E-002; 2.7885E-002;
 3.2000E-002; 2.8020E-002;
 3.2160E-002; 2.8156E-002;
 3.2320E-002; 2.8291E-002;
 3.2480E-002; 2.8427E-002;
 3.2640E-002; 2.8563E-002;
 3.2800E-002; 2.8698E-002;
 3.2960E-002; 2.8834E-002;
 3.3120E-002; 2.8970E-002;
 3.3280E-002; 2.9107E-002;
 3.3440E-002; 2.9243E-002;
 3.3600E-002; 2.9379E-002;
 3.3760E-002; 2.9516E-002;
 3.3920E-002; 2.9652E-002;
 3.4080E-002; 2.9789E-002;
 3.4240E-002; 2.9926E-002;
 3.4400E-002; 3.0063E-002;
 3.4560E-002; 3.0200E-002;
 3.4720E-002; 3.0337E-002;
 3.4880E-002; 3.0474E-002;
 3.5040E-002; 3.0611E-002;
 3.5200E-002; 3.0748E-002;
 3.5360E-002; 3.0886E-002;
 3.5520E-002; 3.1023E-002;
 3.5680E-002; 3.1161E-002;
 3.5840E-002; 3.1298E-002;
 3.6000E-002; 3.1435E-002;
 3.6160E-002; 3.1573E-002;
 3.6320E-002; 3.1710E-002;
 3.6480E-002; 3.1848E-002;
 3.6640E-002; 3.1985E-002;
 3.6800E-002; 3.2122E-002;
 3.6960E-002; 3.2260E-002;
 3.7120E-002; 3.2397E-002;
 3.7280E-002; 3.2534E-002;
 3.7440E-002; 3.2671E-002;
 3.7600E-002; 3.2808E-002;
 3.7760E-002; 3.2946E-002;
 3.7920E-002; 3.3083E-002;
 3.8080E-002; 3.3220E-002;
 3.8240E-002; 3.3357E-002;
 3.8400E-002; 3.3494E-002;
 3.8560E-002; 3.3631E-002;
 3.8720E-002; 3.3768E-002;
 3.8880E-002; 3.3905E-002;
 3.9040E-002; 3.4042E-002;
 3.9200E-002; 3.4179E-002;
 3.9360E-002; 3.4316E-002;
 3.9520E-002; 3.4453E-002;
 3.9680E-002; 3.4590E-002;
 3.9840E-002; 3.4727E-002;
 4.0000E-002; 3.4864E-002;
 4.0160E-002; 3.5001E-002;
 4.0320E-002; 3.5138E-002;
 4.0480E-002; 3.5275E-002;
 4.0640E-002; 3.5412E-002;
 4.0800E-002; 3.5549E-002;
 4.0960E-002; 3.5686E-002;
 4.1120E-002; 3.5824E-002;
 4.1280E-002; 3.5961E-002;
 4.1440E-002; 3.6098E-002;
 4.1600E-002; 3.6236E-002;
 4.1760E-002; 3.6373E-002;
 4.1920E-002; 3.6510E-002;
 4.2080E-002; 3.6648E-002;
 4.2240E-002; 3.6785E-002;
 4.2400E-002; 3.6923E-002;
 4.2560E-002; 3.7060E-002;
 4.2720E-002; 3.7198E-002;
 4.2880E-002; 3.7335E-002;
 4.3040E-002; 3.7473E-002;
 4.3200E-002; 3.7611E-002;
 4.3360E-002; 3.7749E-002;
 4.3520E-002; 3.7886E-002;
 4.3680E-002; 3.8024E-002;
 4.3840E-002; 3.8162E-002;
 4.4000E-002; 3.8300E-002;
 4.4160E-002; 3.8438E-002;
 4.4320E-002; 3.8576E-002;
 4.4480E-002; 3.8714E-002;
 4.4640E-002; 3.8852E-002;
 4.4800E-002; 3.8990E-002;
 4.4960E-002; 3.9128E-002;
 4.5120E-002; 3.9266E-002;
 4.5280E-002; 3.9404E-002;
 4.5440E-002; 3.9542E-002;
 4.5600E-002; 3.9680E-002;
 4.5760E-002; 3.9818E-002;
 4.5920E-002; 3.9957E-002;
 4.6080E-002; 4.0095E-002;
 4.6240E-002; 4.0233E-002;
 4.6400E-002; 4.0371E-002;
 4.6560E-002; 4.0510E-002;
 4.6720E-002; 4.0648E-002;
 4.6880E-002; 4.0786E-002;
 4.7040E-002; 4.0925E-002;
 4.7200E-002; 4.1063E-002;
 4.7360E-002; 4.1202E-002;
 4.7520E-002; 4.1340E-002;
 4.7680E-002; 4.1478E-002;
 4.7840E-002; 4.1617E-002;
 4.8000E-002; 4.1755E-002;
 4.8160E-002; 4.1894E-002;
 4.8320E-002; 4.2032E-002;
 4.8480E-002; 4.2171E-002;
 4.8640E-002; 4.2310E-002;
 4.8800E-002; 4.2448E-002;
 4.8960E-002; 4.2587E-002;
 4.9120E-002; 4.2725E-002;
 4.9280E-002; 4.2864E-002;
 4.9440E-002; 4.3002E-002;
 4.9600E-002; 4.3141E-002;
 4.9760E-002; 4.3280E-002;
 4.9920E-002; 4.3418E-002;
 5.0080E-002; 4.3557E-002;
 5.0240E-002; 4.3696E-002;
 5.0400E-002; 4.3834E-002;
