Temps       ;Contrainte  ;
 2.6720E-002; 3.8254E+008;
 2.6880E-002; 3.8294E+008;
 2.7040E-002; 3.8333E+008;
 2.7200E-002; 3.8371E+008;
 2.7360E-002; 3.8410E+008;
 2.7520E-002; 3.8449E+008;
 2.7680E-002; 3.8487E+008;
 2.7840E-002; 3.8525E+008;
 2.8000E-002; 3.8564E+008;
 2.8160E-002; 3.8602E+008;
 2.8320E-002; 3.8640E+008;
 2.8480E-002; 3.8677E+008;
 2.8640E-002; 3.8715E+008;
 2.8800E-002; 3.8753E+008;
 2.8960E-002; 3.8790E+008;
 2.9120E-002; 3.8827E+008;
 2.9280E-002; 3.8864E+008;
 2.9440E-002; 3.8901E+008;
 2.9600E-002; 3.8937E+008;
 2.9760E-002; 3.8974E+008;
 2.9920E-002; 3.9010E+008;
 3.0080E-002; 3.9046E+008;
 3.0240E-002; 3.9083E+008;
 3.0400E-002; 3.9119E+008;
 3.0560E-002; 3.9155E+008;
 3.0720E-002; 3.9191E+008;
 3.0880E-002; 3.9227E+008;
 3.1040E-002; 3.9263E+008;
 3.1200E-002; 3.9298E+008;
 3.1360E-002; 3.9334E+008;
 3.1520E-002; 3.9370E+008;
 3.1680E-002; 3.9406E+008;
 3.1840E-002; 3.9441E+008;
 3.2000E-002; 3.9477E+008;
 3.2160E-002; 3.9512E+008;
 3.2320E-002; 3.9547E+008;
 3.2480E-002; 3.9583E+008;
 3.2640E-002; 3.9618E+008;
 3.2800E-002; 3.9653E+008;
 3.2960E-002; 3.9688E+008;
 3.3120E-002; 3.9723E+008;
 3.3280E-002; 3.9758E+008;
 3.3440E-002; 3.9793E+008;
 3.3600E-002; 3.9828E+008;
 3.3760E-002; 3.9863E+008;
 3.3920E-002; 3.9898E+008;
 3.4080E-002; 3.9932E+008;
 3.4240E-002; 3.9967E+008;
 3.4400E-002; 4.0001E+008;
 3.4560E-002; 4.0036E+008;
 3.4720E-002; 4.0070E+008;
 3.4880E-002; 4.0104E+008;
 3.5040E-002; 4.0138E+008;
 3.5200E-002; 4.0172E+008;
 3.5360E-002; 4.0206E+008;
 3.5520E-002; 4.0239E+008;
 3.5680E-002; 4.0273E+008;
 3.5840E-002; 4.0307E+008;
 3.6000E-002; 4.0340E+008;
 3.6160E-002; 4.0373E+008;
 3.6320E-002; 4.0407E+008;
 3.6480E-002; 4.0440E+008;
 3.6640E-002; 4.0473E+008;
 3.6800E-002; 4.0506E+008;
 3.6960E-002; 4.0539E+008;
 3.7120E-002; 4.0572E+008;
 3.7280E-002; 4.0604E+008;
 3.7440E-002; 4.0637E+008;
 3.7600E-002; 4.0669E+008;
 3.7760E-002; 4.0702E+008;
 3.7920E-002; 4.0734E+008;
 3.8080E-002; 4.0766E+008;
 3.8240E-002; 4.0799E+008;
 3.8400E-002; 4.0831E+008;
 3.8560E-002; 4.0863E+008;
 3.8720E-002; 4.0895E+008;
 3.8880E-002; 4.0926E+008;
 3.9040E-002; 4.0958E+008;
 3.9200E-002; 4.0990E+008;
 3.9360E-002; 4.1022E+008;
 3.9520E-002; 4.1053E+008;
 3.9680E-002; 4.1085E+008;
 3.9840E-002; 4.1116E+008;
 4.0000E-002; 4.1147E+008;
 4.0160E-002; 4.1179E+008;
 4.0320E-002; 4.1210E+008;
 4.0480E-002; 4.1241E+008;
 4.0640E-002; 4.1272E+008;
 4.0800E-002; 4.1303E+008;
 4.0960E-002; 4.1334E+008;
 4.1120E-002; 4.1365E+008;
 4.1280E-002; 4.1395E+008;
 4.1440E-002; 4.1426E+008;
 4.1600E-002; 4.1456E+008;
 4.1760E-002; 4.1487E+008;
 4.1920E-002; 4.1517E+008;
 4.2080E-002; 4.1548E+008;
 4.2240E-002; 4.1578E+008;
 4.2400E-002; 4.1608E+008;
 4.2560E-002; 4.1638E+008;
 4.2720E-002; 4.1668E+008;
 4.2880E-002; 4.1698E+008;
 4.3040E-002; 4.1728E+008;
 4.3200E-002; 4.1758E+008;
 4.3360E-002; 4.1788E+008;
 4.3520E-002; 4.1818E+008;
 4.3680E-002; 4.1847E+008;
 4.3840E-002; 4.1877E+008;
 4.4000E-002; 4.1906E+008;
 4.4160E-002; 4.1936E+008;
 4.4320E-002; 4.1965E+008;
 4.4480E-002; 4.1994E+008;
 4.4640E-002; 4.2023E+008;
 4.4800E-002; 4.2052E+008;
 4.4960E-002; 4.2081E+008;
 4.5120E-002; 4.2110E+008;
 4.5280E-002; 4.2139E+008;
 4.5440E-002; 4.2168E+008;
 4.5600E-002; 4.2197E+008;
 4.5760E-002; 4.2225E+008;
 4.5920E-002; 4.2254E+008;
 4.6080E-002; 4.2282E+008;
 4.6240E-002; 4.2311E+008;
 4.6400E-002; 4.2339E+008;
 4.6560E-002; 4.2368E+008;
 4.6720E-002; 4.2396E+008;
 4.6880E-002; 4.2424E+008;
 4.7040E-002; 4.2452E+008;
 4.7200E-002; 4.2480E+008;
 4.7360E-002; 4.2508E+008;
 4.7520E-002; 4.2536E+008;
 4.7680E-002; 4.2564E+008;
 4.7840E-002; 4.2591E+008;
 4.8000E-002; 4.2619E+008;
 4.8160E-002; 4.2646E+008;
 4.8320E-002; 4.2674E+008;
 4.8480E-002; 4.2701E+008;
 4.8640E-002; 4.2729E+008;
 4.8800E-002; 4.2756E+008;
 4.8960E-002; 4.2783E+008;
 4.9120E-002; 4.2810E+008;
 4.9280E-002; 4.2837E+008;
 4.9440E-002; 4.2864E+008;
 4.9600E-002; 4.2891E+008;
 4.9760E-002; 4.2918E+008;
 4.9920E-002; 4.2945E+008;
 5.0080E-002; 4.2971E+008;
 5.0240E-002; 4.2998E+008;
 5.0400E-002; 4.3025E+008;
 5.0560E-002; 4.3051E+008;
 5.0720E-002; 4.3077E+008;
 5.0880E-002; 4.3104E+008;
 5.1040E-002; 4.3130E+008;
 5.1200E-002; 4.3156E+008;
 5.1360E-002; 4.3182E+008;
 5.1520E-002; 4.3208E+008;
 5.1680E-002; 4.3234E+008;
 5.1840E-002; 4.3260E+008;
 5.2000E-002; 4.3286E+008;
 5.2160E-002; 4.3311E+008;
 5.2320E-002; 4.3337E+008;
 5.2480E-002; 4.3363E+008;
 5.2640E-002; 4.3388E+008;
 5.2800E-002; 4.3413E+008;
 5.2960E-002; 4.3439E+008;
 5.3120E-002; 4.3464E+008;
 5.3280E-002; 4.3489E+008;
 5.3440E-002; 4.3514E+008;
 5.3600E-002; 4.3539E+008;
 5.3760E-002; 4.3563E+008;
 5.3920E-002; 4.3588E+008;
 5.4080E-002; 4.3613E+008;
 5.4240E-002; 4.3637E+008;
 5.4400E-002; 4.3661E+008;
 5.4560E-002; 4.3686E+008;
 5.4720E-002; 4.3710E+008;
 5.4880E-002; 4.3734E+008;
 5.5040E-002; 4.3758E+008;
 5.5200E-002; 4.3781E+008;
 5.5360E-002; 4.3805E+008;
 5.5520E-002; 4.3829E+008;
 5.5680E-002; 4.3852E+008;
 5.5840E-002; 4.3875E+008;
 5.6000E-002; 4.3899E+008;
 5.6160E-002; 4.3922E+008;
 5.6320E-002; 4.3945E+008;
 5.6480E-002; 4.3968E+008;
 5.6640E-002; 4.3991E+008;
 5.6800E-002; 4.4014E+008;
 5.6960E-002; 4.4037E+008;
 5.7120E-002; 4.4060E+008;
 5.7280E-002; 4.4083E+008;
 5.7440E-002; 4.4106E+008;
 5.7600E-002; 4.4129E+008;
 5.7760E-002; 4.4152E+008;
 5.7920E-002; 4.4175E+008;
 5.8080E-002; 4.4198E+008;
 5.8240E-002; 4.4221E+008;
 5.8400E-002; 4.4244E+008;
 5.8560E-002; 4.4266E+008;
 5.8720E-002; 4.4289E+008;
 5.8880E-002; 4.4312E+008;
 5.9040E-002; 4.4334E+008;
 5.9200E-002; 4.4357E+008;
 5.9360E-002; 4.4380E+008;
 5.9520E-002; 4.4402E+008;
 5.9680E-002; 4.4425E+008;
 5.9840E-002; 4.4447E+008;
 6.0000E-002; 4.4469E+008;
 6.0160E-002; 4.4492E+008;
 6.0320E-002; 4.4514E+008;
 6.0480E-002; 4.4536E+008;
 6.0640E-002; 4.4558E+008;
 6.0800E-002; 4.4580E+008;
 6.0960E-002; 4.4602E+008;
 6.1120E-002; 4.4624E+008;
 6.1280E-002; 4.4646E+008;
 6.1440E-002; 4.4668E+008;
 6.1600E-002; 4.4690E+008;
 6.1760E-002; 4.4712E+008;
 6.1920E-002; 4.4734E+008;
 6.2080E-002; 4.4755E+008;
 6.2240E-002; 4.4777E+008;
 6.2400E-002; 4.4799E+008;
 6.2560E-002; 4.4820E+008;
 6.2720E-002; 4.4842E+008;
 6.2880E-002; 4.4863E+008;
 6.3040E-002; 4.4884E+008;
 6.3200E-002; 4.4906E+008;
 6.3360E-002; 4.4927E+008;
 6.3520E-002; 4.4948E+008;
 6.3680E-002; 4.4969E+008;
 6.3840E-002; 4.4991E+008;
 6.4000E-002; 4.5012E+008;
 6.4160E-002; 4.5033E+008;
 6.4320E-002; 4.5054E+008;
 6.4480E-002; 4.5074E+008;
 6.4640E-002; 4.5095E+008;
 6.4800E-002; 4.5116E+008;
 6.4960E-002; 4.5137E+008;
 6.5120E-002; 4.5158E+008;
 6.5280E-002; 4.5178E+008;
 6.5440E-002; 4.5199E+008;
 6.5600E-002; 4.5219E+008;
 6.5760E-002; 4.5240E+008;
 6.5920E-002; 4.5260E+008;
 6.6080E-002; 4.5281E+008;
 6.6240E-002; 4.5301E+008;
 6.6400E-002; 4.5321E+008;
 6.6560E-002; 4.5342E+008;
 6.6720E-002; 4.5362E+008;
 6.6880E-002; 4.5382E+008;
 6.7040E-002; 4.5402E+008;
 6.7200E-002; 4.5422E+008;
 6.7360E-002; 4.5442E+008;
 6.7520E-002; 4.5462E+008;
 6.7680E-002; 4.5482E+008;
 6.7840E-002; 4.5502E+008;
 6.8000E-002; 4.5522E+008;
 6.8160E-002; 4.5541E+008;
 6.8320E-002; 4.5561E+008;
 6.8480E-002; 4.5581E+008;
 6.8640E-002; 4.5600E+008;
 6.8800E-002; 4.5620E+008;
 6.8960E-002; 4.5639E+008;
 6.9120E-002; 4.5659E+008;
 6.9280E-002; 4.5678E+008;
 6.9440E-002; 4.5697E+008;
 6.9600E-002; 4.5717E+008;
 6.9760E-002; 4.5736E+008;
 6.9920E-002; 4.5755E+008;
 7.0080E-002; 4.5774E+008;
 7.0240E-002; 4.5793E+008;
 7.0400E-002; 4.5812E+008;
 7.0560E-002; 4.5831E+008;
 7.0720E-002; 4.5850E+008;
 7.0880E-002; 4.5869E+008;
 7.1040E-002; 4.5888E+008;
 7.1200E-002; 4.5907E+008;
 7.1360E-002; 4.5925E+008;
 7.1520E-002; 4.5944E+008;
 7.1680E-002; 4.5963E+008;
 7.1840E-002; 4.5981E+008;
 7.2000E-002; 4.6000E+008;
 7.2160E-002; 4.6018E+008;
 7.2320E-002; 4.6037E+008;
 7.2480E-002; 4.6055E+008;
 7.2640E-002; 4.6073E+008;
 7.2800E-002; 4.6092E+008;
 7.2960E-002; 4.6110E+008;
 7.3120E-002; 4.6128E+008;
 7.3280E-002; 4.6146E+008;
 7.3440E-002; 4.6164E+008;
 7.3600E-002; 4.6182E+008;
 7.3760E-002; 4.6200E+008;
 7.3920E-002; 4.6218E+008;
 7.4080E-002; 4.6236E+008;
 7.4240E-002; 4.6254E+008;
 7.4400E-002; 4.6272E+008;
 7.4560E-002; 4.6290E+008;
 7.4720E-002; 4.6307E+008;
 7.4880E-002; 4.6325E+008;
 7.5040E-002; 4.6343E+008;
 7.5200E-002; 4.6360E+008;
 7.5360E-002; 4.6378E+008;
 7.5520E-002; 4.6395E+008;
 7.5680E-002; 4.6413E+008;
 7.5840E-002; 4.6430E+008;
 7.6000E-002; 4.6447E+008;
 7.6160E-002; 4.6465E+008;
 7.6320E-002; 4.6482E+008;
 7.6480E-002; 4.6499E+008;
 7.6640E-002; 4.6516E+008;
 7.6800E-002; 4.6533E+008;
 7.6960E-002; 4.6550E+008;
 7.7120E-002; 4.6567E+008;
 7.7280E-002; 4.6584E+008;
 7.7440E-002; 4.6601E+008;
 7.7600E-002; 4.6618E+008;
 7.7760E-002; 4.6635E+008;
 7.7920E-002; 4.6651E+008;
 7.8080E-002; 4.6668E+008;
 7.8240E-002; 4.6685E+008;
 7.8400E-002; 4.6701E+008;
 7.8560E-002; 4.6718E+008;
 7.8720E-002; 4.6735E+008;
 7.8880E-002; 4.6751E+008;
 7.9040E-002; 4.6767E+008;
 7.9200E-002; 4.6784E+008;
 7.9360E-002; 4.6800E+008;
 7.9520E-002; 4.6817E+008;
 7.9680E-002; 4.6833E+008;
 7.9840E-002; 4.6849E+008;
 8.0000E-002; 4.6865E+008;
